"","compound_1","compound_2","true_match","cosine","comp2keep","comp1_feat","comp2_feat","comp_MSMS","comp_TIC","reason"
"24","amide_1303","C18_5172","Y",0.935836,"amide_1303",2,2,"amide_1303","amide_1303","amide_1303 has MSMS"
"25","amide_1304","C18_5527","Y",0.974267,"amide_1304",2,3,"amide_1304","amide_1304","amide_1304 has MSMS"
"26","amide_1306","C18_3878","Y",0.817447,"amide_1306",2,3,"amide_1306","amide_1306","amide_1306 has MSMS"
"27","amide_133","C18_296","Y",0.903619,"amide_133",29,19,"both","amide_133","amide_133 more features"
"28","amide_1338","C18_3914","Y",0.81168,"amide_1338",2,5,"amide_1338","amide_1338","amide_1338 has MSMS"
"29","amide_1011","C18_4823","Y",0.966837,"amide_1011",3,2,"amide_1011","amide_1011","amide_1011 has MSMS"
"30","amide_1366","C18_4615","Y",0.976868,"amide_1366",2,4,"amide_1366","C18_4615","amide_1366 has MSMS"
"31","amide_1395","C18_2970","Y",0.954233,"C18_2970",2,7,"both","amide_1395","C18_2970 more features"
"32","amide_1418","C18_4951","Y",0.958258,"amide_1418",2,3,"amide_1418","amide_1418","amide_1418 has MSMS"
"33","amide_1446","C18_2678","Y",0.872385,"C18_2678",2,7,"both","amide_1446","C18_2678 more features"
